workerid,proliferate.condition,explanation_response_1,intervention_response_1,error
2989,Condition_2,orange,no preference,
3020,Condition_2,no preference,no preference,
2965,Condition_2,no preference,blue,
2997,Condition_2,blue,blue,
2957,Condition_2,no preference,blue,
2973,Condition_2,no preference,orange,
2923,Condition_2,no preference,blue,
2961,Condition_2,no preference,no preference,
2931,Condition_2,blue,orange,
3006,Condition_2,no preference,blue,
2993,Condition_2,no preference,blue,
2941,Condition_2,blue,blue,
2949,Condition_2,no preference,no preference,
2933,Condition_2,no preference,blue,
3016,Condition_2,blue,blue,
2969,Condition_2,blue,blue,
3001,Condition_2,blue,blue,
2937,Condition_2,blue,blue,
3012,Condition_2,blue,blue,
2927,Condition_2,blue,blue,
2981,Condition_2,blue,blue,
3008,Condition_2,no preference,blue,
2945,Condition_2,no preference,blue,
2985,Condition_2,no preference,blue,
3023,Condition_3,orange,orange,
2972,Condition_3,no preference,blue,
2995,Condition_3,orange,orange,
2979,Condition_3,no preference,orange,
2991,Condition_3,no preference,orange,
2930,Condition_3,no preference,orange,
2925,Condition_3,no preference,orange,
2984,Condition_3,no preference,orange,
2918,Condition_3,no preference,orange,
2988,Condition_3,no preference,orange,
2964,Condition_3,orange,orange,
2922,Condition_3,blue,orange,
2934,Condition_3,no preference,orange,
2960,Condition_3,blue,blue,
2948,Condition_3,orange,orange,
2952,Condition_3,orange,orange,
3005,Condition_3,no preference,orange,
3018,Condition_3,blue,blue,
2956,Condition_3,orange,orange,
2976,Condition_3,no preference,blue,
3014,Condition_3,orange,orange,
2944,Condition_3,orange,orange,
2999,Condition_3,no preference,orange,
2940,Condition_3,orange,orange,
2974,Condition_4,no preference,orange,
2921,Condition_4,orange,no preference,
2946,Condition_4,orange,orange,
3002,Condition_4,no preference,orange,
2932,Condition_4,no preference,orange,
2998,Condition_4,orange,orange,
2966,Condition_4,no preference,orange,
2958,Condition_4,orange,orange,
2994,Condition_4,orange,orange,
2950,Condition_4,no preference,no preference,
2982,Condition_4,no preference,orange,
2970,Condition_4,orange,orange,
3017,Condition_4,no preference,orange,
2924,Condition_4,no preference,orange,
2986,Condition_4,no preference,orange,
3021,Condition_4,no preference,orange,
2990,Condition_4,no preference,orange,
2978,Condition_4,no preference,orange,
2939,Condition_4,no preference,orange,
2942,Condition_4,orange,orange,
3003,Condition_4,orange,orange,
3013,Condition_4,no preference,blue,
2962,Condition_4,no preference,blue,
2936,Condition_4,no preference,orange,
3009,Condition_4,blue,blue,
2967,Condition_1,blue,blue,
2996,Condition_1,blue,blue,
3000,Condition_1,blue,blue,
2917,Condition_1,no preference,blue,
2935,Condition_1,blue,blue,
2983,Condition_1,no preference,blue,
2938,Condition_1,no preference,blue,
2971,Condition_1,no preference,blue,
2975,Condition_1,no preference,blue,
2926,Condition_1,orange,blue,
3004,Condition_1,orange,blue,
3007,Condition_1,no preference,blue,
2987,Condition_1,blue,blue,
2943,Condition_1,no preference,blue,
2959,Condition_1,blue,blue,
2929,Condition_1,no preference,orange,
2947,Condition_1,blue,blue,
2951,Condition_1,orange,blue,
2980,Condition_1,no preference,no preference,
3019,Condition_1,no preference,blue,
3015,Condition_1,blue,blue,
3011,Condition_1,blue,blue,
2992,Condition_1,blue,blue,
2920,Condition_1,orange,blue,
