workerid,proliferate.condition,cn_probability_task_one_response,cn_probability_task_two_response,cp_probability_task_one_response,cp_probability_task_two_response,dn_probability_task_one_response,dn_probability_task_two_response,dp_probability_task_one_response,dp_probability_task_two_response,error
2176,Condition_2,20,0,20,80,20,80,100,100,
2188,Condition_2,100,100,20,80,20,80,100,100,
2191,Condition_2,0,0,20,80,20,80,100,100,
2172,Condition_2,0,0,20,80,20,80,100,100,
2136,Condition_2,20,80,20,80,100,80,100,100,
2197,Condition_2,80,20,20,80,20,80,90,90,
2116,Condition_2,100,100,60,90,90,60,100,100,
2152,Condition_2,20,80,20,80,80,20,20,80,
2168,Condition_2,20,80,20,80,20,80,100,100,
2147,Condition_2,20,0,20,80,20,80,100,100,
2112,Condition_2,20,80,100,80,80,80,100,100,
2163,Condition_2,80,20,20,80,80,80,100,100,
2193,Condition_2,0,0,20,80,20,80,100,100,
2139,Condition_2,0,0,20,80,20,80,100,100,
2156,Condition_2,0,0,20,80,20,80,100,100,
2196,Condition_2,0,0,20,80,20,80,100,100,
2192,Condition_2,0,0,20,80,20,80,100,100,
2160,Condition_2,0,80,80,80,20,80,80,20,
2180,Condition_2,20,60,40,70,10,70,60,80,
2131,Condition_2,20,80,20,80,20,80,80,20,
2184,Condition_2,90,80,20,90,20,90,100,100,
2195,Condition_2,80,80,20,20,80,80,80,80,
2128,Condition_2,0,0,20,80,20,80,100,100,
2164,Condition_3,0,0,20,80,20,80,100,100,
2175,Condition_3,0,0,20,80,80,80,100,100,
2167,Condition_3,20,0,20,80,80,80,100,100,
2151,Condition_3,0,0,20,80,20,80,20,100,
2111,Condition_3,0,0,20,80,20,80,100,100,
2143,Condition_3,0,0,20,80,20,80,100,100,
2148,Condition_3,0,0,20,80,20,80,100,100,
2124,Condition_3,0,0,80,90,0,90,10,80,
2187,Condition_3,0,0,20,80,20,80,100,100,
2140,Condition_3,30,60,50,70,70,80,40,60,
2159,Condition_3,0,0,20,80,20,80,100,100,
2119,Condition_3,10,90,40,100,10,90,20,80,
2115,Condition_3,0,0,20,80,20,80,20,80,
2135,Condition_3,20,80,20,80,20,80,20,80,
2179,Condition_3,30,50,50,50,70,60,60,70,
2127,Condition_3,60,80,60,60,10,80,100,100,
2132,Condition_3,0,0,20,80,20,80,20,100,
2198,Condition_3,0,0,20,80,20,80,100,100,
2190,Condition_4,90,50,80,90,20,80,80,90,
2154,Condition_4,0,0,20,80,20,80,100,100,
2186,Condition_4,0,0,20,80,0,100,100,100,
2174,Condition_4,0,0,20,80,20,80,100,100,
2126,Condition_4,20,80,20,80,20,80,100,100,
2130,Condition_4,0,0,20,80,20,80,100,100,
2158,Condition_4,20,80,20,80,20,80,20,80,
2146,Condition_4,20,80,20,80,20,80,100,80,
2142,Condition_4,20,0,20,80,20,80,20,80,
2170,Condition_4,0,0,20,80,20,80,100,100,
2182,Condition_4,0,0,80,20,20,80,100,100,
2134,Condition_4,20,80,20,80,20,80,20,80,
2166,Condition_4,20,0,20,80,20,80,100,100,
2162,Condition_4,20,80,20,70,40,10,80,80,
2118,Condition_4,0,0,20,80,20,80,100,100,
2150,Condition_4,0,0,20,80,20,80,100,100,
2110,Condition_4,0,0,20,80,20,80,100,100,
2138,Condition_4,20,80,20,80,20,80,20,80,
2178,Condition_4,0,0,20,80,20,80,100,100,
2123,Condition_4,20,80,100,20,20,80,20,80,
2181,Condition_1,80,0,20,80,20,80,20,100,
2189,Condition_1,0,0,20,80,20,80,100,100,
2141,Condition_1,80,20,20,80,80,20,20,80,
2104,Condition_1,,,,,,,,,
2194,Condition_1,50,50,0,0,50,50,80,90,
2177,Condition_1,0,0,20,80,20,80,100,100,
2165,Condition_1,20,0,20,80,20,80,100,100,
2149,Condition_1,80,20,20,80,80,20,80,100,
2173,Condition_1,0,0,20,80,100,100,100,100,
2185,Condition_1,0,0,20,80,20,80,100,100,
2145,Condition_1,0,0,20,80,20,80,100,100,
2133,Condition_1,0,0,20,80,20,80,100,100,
2137,Condition_1,0,0,20,80,20,80,100,100,
2169,Condition_1,0,0,20,80,20,80,20,80,
2129,Condition_1,20,80,20,80,20,80,80,100,
2121,Condition_1,0,0,20,80,20,80,100,100,
2157,Condition_1,0,0,20,80,10,40,100,100,
2117,Condition_1,0,0,20,80,20,80,80,20,
2153,Condition_1,20,80,20,80,20,80,100,100,
2113,Condition_1,0,20,20,80,20,80,20,80,
