causal_structure,outcome,experiment,choice,type,probability
conjunctive,positive,hard,abnormal,explanation,49.48453608247423
conjunctive,positive,hard,normal,explanation,16.49484536082474
conjunctive,positive,hard,nopreference,explanation,34.02061855670103
conjunctive,positive,hard,abnormal,intervention,65.97938144329896
conjunctive,positive,hard,normal,intervention,28.865979381443296
conjunctive,positive,hard,nopreference,intervention,5.154639175257731
disjunctive,positive,hard,abnormal,explanation,26.804123711340207
disjunctive,positive,hard,normal,explanation,19.587628865979383
disjunctive,positive,hard,nopreference,explanation,53.608247422680414
disjunctive,positive,hard,abnormal,intervention,43.29896907216495
disjunctive,positive,hard,normal,intervention,27.835051546391753
disjunctive,positive,hard,nopreference,intervention,28.865979381443296
conjunctive,negative,hard,abnormal,explanation,17.17171717171717
conjunctive,negative,hard,normal,explanation,37.37373737373738
conjunctive,negative,hard,nopreference,explanation,45.45454545454545
conjunctive,negative,hard,abnormal,intervention,19.19191919191919
conjunctive,negative,hard,normal,intervention,64.64646464646465
conjunctive,negative,hard,nopreference,intervention,16.161616161616163
disjunctive,negative,hard,abnormal,explanation,8.080808080808081
disjunctive,negative,hard,normal,explanation,48.48484848484848
disjunctive,negative,hard,nopreference,explanation,43.43434343434344
disjunctive,negative,hard,abnormal,intervention,13.131313131313131
disjunctive,negative,hard,normal,intervention,81.81818181818183
disjunctive,negative,hard,nopreference,intervention,5.05050505050505
conjunctive,positive,soft,abnormal,explanation,51.02040816326531
conjunctive,positive,soft,normal,explanation,11.224489795918368
conjunctive,positive,soft,nopreference,explanation,37.755102040816325
conjunctive,positive,soft,abnormal,intervention,65.3061224489796
conjunctive,positive,soft,normal,intervention,30.612244897959183
conjunctive,positive,soft,nopreference,intervention,4.081632653061225
disjunctive,positive,soft,abnormal,explanation,6.122448979591836
disjunctive,positive,soft,normal,explanation,58.16326530612245
disjunctive,positive,soft,nopreference,explanation,35.714285714285715
disjunctive,positive,soft,abnormal,intervention,12.244897959183673
disjunctive,positive,soft,normal,intervention,79.59183673469387
disjunctive,positive,soft,nopreference,intervention,8.16326530612245
conjunctive,negative,soft,abnormal,explanation,45.45454545454545
conjunctive,negative,soft,normal,explanation,14.14141414141414
conjunctive,negative,soft,nopreference,explanation,40.4040404040404
conjunctive,negative,soft,abnormal,intervention,67.67676767676768
conjunctive,negative,soft,normal,intervention,22.22222222222222
conjunctive,negative,soft,nopreference,intervention,10.1010101010101
disjunctive,negative,soft,abnormal,explanation,11.11111111111111
disjunctive,negative,soft,normal,explanation,35.35353535353536
disjunctive,negative,soft,nopreference,explanation,53.535353535353536
disjunctive,negative,soft,abnormal,intervention,35.35353535353536
disjunctive,negative,soft,normal,intervention,55.55555555555556
disjunctive,negative,soft,nopreference,intervention,9.090909090909092
conjunctive,negative,fixed,abnormal,explanation,17.17171717171717
conjunctive,negative,fixed,normal,explanation,42.42424242424242
conjunctive,negative,fixed,nopreference,explanation,40.4040404040404
conjunctive,negative,fixed,abnormal,intervention,20.2020202020202
conjunctive,negative,fixed,normal,intervention,66.66666666666666
conjunctive,negative,fixed,nopreference,intervention,13.131313131313131
disjunctive,negative,fixed,abnormal,explanation,8.080808080808081
disjunctive,negative,fixed,normal,explanation,39.39393939393939
disjunctive,negative,fixed,nopreference,explanation,52.52525252525253
disjunctive,negative,fixed,abnormal,intervention,10.1010101010101
disjunctive,negative,fixed,normal,intervention,79.7979797979798
disjunctive,negative,fixed,nopreference,intervention,10.1010101010101
conjunctive,negative,fixed,abnormal,explanation,17.17171717171717
conjunctive,negative,fixed,normal,explanation,42.42424242424242
conjunctive,negative,fixed,nopreference,explanation,40.4040404040404
conjunctive,negative,fixed,abnormal,intervention,20.2020202020202
conjunctive,negative,fixed,normal,intervention,66.66666666666666
conjunctive,negative,fixed,nopreference,intervention,13.131313131313131
disjunctive,negative,fixed,abnormal,explanation,8.080808080808081
disjunctive,negative,fixed,normal,explanation,39.39393939393939
disjunctive,negative,fixed,nopreference,explanation,52.52525252525253
disjunctive,negative,fixed,abnormal,intervention,10.1010101010101
disjunctive,negative,fixed,normal,intervention,79.7979797979798
disjunctive,negative,fixed,nopreference,intervention,10.1010101010101
